"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"693063010911";"693063010911";"J1";"WR-CRD SD CARD CONNECTOR PUSH & PULL WITH CARD DETECTION 9PINS=>Code : Con_I-O_COM_CRD_SD_Normal_693063010911";"";
"1";"";"PSH02-05W";"PSH02-05W";"K1";"Konektory se zamkem - vidlice - 5pin";"";
"4";"";"SMD2";"SMD1,27-2,54";"PAD1, PAD2, PAD3, PAD4";"SMD PAD";"";
"3";"100nF";"C-SMD1206";"1206";"C3, C10, C14";"Kondenzátory keramické SMD 50 V";"";
"3";"10k";"R1206";"R1206";"R1, R3, R13";"Rezistor SMD 1206";"";
"3";"10uF";"CTSA";"A/3216";"C11, C12, C13";"Kondenzátory tantalové - SMD";"";
"3";"1k8";"R1206";"R1206";"R7, R8, R9";"Rezistor SMD 1206";"";
"3";"220R";"R1206";"R1206";"R4, R5, R6";"Rezistor SMD 1206";"";
"6";"22nF";"C-SMD1206";"1206";"C4, C5, C6, C7, C8, C9";"Kondenzátory keramické SMD 50 V";"";
"2";"22pF";"C-SMD1206";"1206";"C1, C2";"Kondenzátory keramické SMD 50 V";"";
"1";"27R";"R1206";"R1206";"R2";"Rezistor SMD 1206";"";
"3";"3k3";"R1206";"R1206";"R10, R11, R12";"Rezistor SMD 1206";"";
"1";"5k";"3362P";"3362P";"P1";"Odporové trimry 3362P";"";
"1";"BAT54S";"BAT54S";"SOT23";"D4";"Schottky";"";
"1";"Display 2x16";"PINHD-1X16";"1X16";"JP1";"PIN HEADER";"";
"1";"HT7533-1";"HT7533-1_SMD";"SOT89R";"IC2";"VOLTAGE REGULATOR";"";
"1";"K1";"10-XX";"B3F-10XX";"DRIVE";"OMRON SWITCH";"";
"1";"K2";"10-XX";"B3F-10XX";"NEXT";"OMRON SWITCH";"";
"1";"K3";"10-XX";"B3F-10XX";"CD..";"OMRON SWITCH";"";
"1";"K4";"10-XX";"B3F-10XX";"ENTER";"OMRON SWITCH";"";
"1";"K5";"10-XX";"B3F-10XX";"SHIFT";"OMRON SWITCH";"";
"1";"K6";"10-XX";"B3F-10XX";"RESET";"OMRON SWITCH";"";
"1";"LED_5MM_CERVENA";"LED_5MM_CERVENA";"A5,0";"D1";"LED 5mm";"";
"1";"LED_5MM_ZELENA";"LED_5MM_ZELENA";"A5,0";"D3";"LED 5mm";"";
"1";"LED_5MM_ZLUTA";"LED_5MM_ZLUTA";"A5,0";"D2";"LED 5mm";"";
"1";"MEGA32-A";"MEGA32-A";"TQFP44";"IC1";"MICROCONTROLLER";"";
"1";"Q14,318MHZ_HC49V";"Q14,318MHZ_HC49V";"HC49U-V";"Q1";"Krystal s pouzdrem HC-49U";"";
